Year,BOOKINGDISTRICT,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92
2004,A1,0,0,1,0,2,13,16,36,39,49,76,96,107,142,128,115,116,106,90,93,81,75,71,79,59,75,80,78,74,82,81,65,57,74,69,52,35,47,49,57,47,33,26,18,11,10,10,9,10,5,3,3,3,4,4,4,2,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2004,A7,0,0,0,0,6,11,19,41,48,55,69,79,59,63,63,55,49,49,45,50,44,30,17,45,21,36,28,39,22,17,29,28,18,26,20,17,24,21,14,13,14,7,16,3,5,3,6,3,8,2,4,1,3,2,2,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2004,B2,0,0,0,4,15,29,79,105,128,131,171,168,141,146,146,128,117,107,106,86,87,75,87,92,71,89,90,74,107,95,96,91,67,82,65,59,68,64,48,42,43,53,45,36,19,28,13,16,10,10,9,10,5,12,3,8,6,2,0,2,6,1,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2004,B3,0,0,0,3,9,21,50,95,102,122,127,97,110,108,120,115,115,100,68,75,66,56,58,60,70,80,58,56,57,68,59,55,62,63,49,40,49,51,31,34,31,14,17,17,13,11,11,12,4,9,5,4,8,4,2,2,2,3,3,3,1,1,3,0,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2004,C11,0,0,2,4,14,22,55,72,89,102,145,116,112,106,111,106,112,93,87,70,66,51,55,51,49,59,69,67,65,87,71,50,42,52,57,45,36,32,31,27,27,25,12,24,12,12,13,5,3,7,1,2,4,4,4,5,0,2,2,2,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2004,C6,1,0,1,7,7,9,15,33,40,48,48,49,28,54,46,45,61,43,52,39,51,37,27,31,35,26,40,32,29,34,45,20,36,36,22,30,19,32,19,28,21,22,18,12,6,12,7,2,3,2,3,4,1,4,1,2,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2004,D14,0,0,0,0,1,5,7,14,10,24,30,55,61,70,58,31,49,34,26,24,22,16,13,10,11,12,8,15,6,3,14,12,9,9,13,11,7,7,8,6,8,6,5,8,1,3,6,1,1,3,0,2,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2004,D4,0,0,1,3,1,9,19,31,49,66,87,106,100,104,93,84,75,67,60,37,45,57,46,47,51,56,60,52,58,53,60,38,44,47,45,50,48,54,52,38,33,29,16,17,17,21,11,9,9,10,8,7,5,0,2,2,4,2,2,2,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2004,E13,1,0,0,1,4,16,17,31,39,47,60,68,48,39,52,43,35,40,28,24,22,36,27,30,19,35,25,39,19,28,22,20,18,22,19,22,23,21,17,18,12,18,11,7,7,4,5,7,2,6,3,4,5,0,2,3,0,1,0,1,1,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2004,E18,0,0,0,0,0,7,16,36,49,66,48,31,40,34,40,29,20,13,23,12,15,11,13,23,20,22,20,16,13,23,19,21,27,13,18,14,7,19,12,11,7,4,8,7,3,5,4,1,1,2,0,2,1,4,0,0,1,1,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2004,E5,0,0,0,1,4,8,16,21,29,31,22,17,22,27,12,15,10,13,9,10,12,12,11,9,7,9,11,11,8,11,6,10,12,7,7,7,11,8,5,2,1,4,2,2,4,3,5,1,2,0,2,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2005,A1,0,0,0,1,6,5,25,34,53,77,116,115,98,100,130,138,130,95,87,104,80,81,69,59,61,61,80,79,98,85,71,74,83,65,60,59,52,66,45,40,33,26,19,31,15,18,8,12,5,6,9,7,1,1,5,1,1,0,1,1,2,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2005,A7,0,0,0,1,2,4,30,30,34,48,73,57,52,69,61,57,60,45,40,50,32,34,37,33,25,39,32,35,39,23,25,13,37,17,20,23,24,18,24,6,7,10,14,5,7,5,8,2,5,4,4,0,2,4,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2005,B2,0,0,1,1,15,35,78,98,164,185,191,178,193,154,141,140,135,127,96,101,95,76,75,53,100,92,88,89,84,89,107,78,69,88,80,69,62,66,64,51,60,44,42,27,31,26,17,15,16,17,10,10,3,7,6,2,4,4,6,1,1,3,0,1,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0
